Record Date,State Name,Interest Rate Percent,Outstanding Advance Balance,Advance Authorization Current Month,Gross Advance Draws Current Month,Interest Accrued Fiscal Year to Date,Interest Paid Amount,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2/15/22,Texas,1.5909,0,0,0,19767040.04,4895.4,11,2022,2,2022,1,2,15
2/15/22,Virgin Islands,1.5909,98745886.99,3000000,858841,742290.43,235.02,12,2022,2,2022,1,2,15
2/14/22,California,1.5909,19486625644,700000000,223459333.5,150610824,0,1,2022,2,2022,1,2,14
2/14/22,Colorado,1.5909,1013089861,100000000,0,7809377.55,0,2,2022,2,2022,1,2,14
2/14/22,Connecticut,1.5909,547775012.5,80000000,15698673.46,4133551.69,0,3,2022,2,2022,1,2,14
2/14/22,Hawaii,1.5909,0,65000000,0,19584.53,19584.53,4,2022,2,2022,1,2,14
2/14/22,Illinois,1.5909,4512645003,147000000,0,34375271.86,0.55,5,2022,2,2022,1,2,14
2/14/22,Massachusetts,1.5909,2268015460,0,0,17469234.63,0,6,2022,2,2022,1,2,14
2/14/22,Minnesota,1.5909,1236734799,175000000,59433299.41,8674984.51,35056.4,7,2022,2,2022,1,2,14
2/14/22,New Jersey,1.5909,464185275.8,400000000,96433280,3872255.17,1.17,8,2022,2,2022,1,2,14
2/14/22,New York*,1.5909,9288247547,560000000,69398809.2,71049906.63,0,9,2022,2,2022,1,2,14
2/14/22,Pennsylvania,1.5909,698024906.5,100000000,60576094.59,6005950.72,0,10,2022,2,2022,1,2,14
2/14/22,Texas,1.5909,0,0,0,19767040.04,4895.4,11,2022,2,2022,1,2,14
2/14/22,Virgin Islands,1.5909,98639075.99,3000000,752030,737991.04,235.02,12,2022,2,2022,1,2,14
2/11/22,California,1.5909,19453437434,700000000,183473660.9,148067114,0,1,2022,2,2022,1,2,11
2/11/22,Colorado,1.5909,1013089861,100000000,0,7676907.09,0,2,2022,2,2022,1,2,11
2/11/22,Connecticut,1.5909,547775012.5,80000000,15698673.46,4061925.26,0,3,2022,2,2022,1,2,11
2/11/22,Hawaii,1.5909,0,65000000,0,19584.53,19584.53,4,2022,2,2022,1,2,11
2/11/22,Illinois,1.5909,4512645003,147000000,0,33785203.37,0.55,5,2022,2,2022,1,2,11
2/11/22,Massachusetts,1.5909,2268015460,0,0,17172671.42,0,6,2022,2,2022,1,2,11
2/11/22,Minnesota,1.5909,1235188088,175000000,57770299.41,8513472.65,35056.4,7,2022,2,2022,1,2,11
2/11/22,New Jersey,1.5909,450463387.5,400000000,82655280,3813353.08,1.17,8,2022,2,2022,1,2,11
2/11/22,New York*,1.5909,9259160882,560000000,40312143.85,69839188.88,0,9,2022,2,2022,1,2,11
2/11/22,Pennsylvania,1.5909,683509889.5,100000000,44044677.59,5916575.68,0,10,2022,2,2022,1,2,11
2/11/22,Texas,1.5909,0,0,0,19767040.04,4895.4,11,2022,2,2022,1,2,11
2/11/22,Virgin Islands,1.5909,98603934.99,3000000,716889,725097.75,235.02,12,2022,2,2022,1,2,11
2/10/22,California,1.5909,19448336639,700000000,172850575.5,147219432.9,0,1,2022,2,2022,1,2,10
2/10/22,Colorado,1.5909,1013089861,100000000,0,7632750.24,0,2,2022,2,2022,1,2,10
2/10/22,Connecticut,1.5909,547775012.5,80000000,15698673.46,4038049.75,0,3,2022,2,2022,1,2,10
2/10/22,Hawaii,1.5909,0,65000000,0,19584.53,19584.53,4,2022,2,2022,1,2,10
2/10/22,Illinois,1.5909,4512645003,147000000,0,33588513.81,0.55,5,2022,2,2022,1,2,10
2/10/22,Massachusetts,1.5909,2268015460,0,0,17073816.98,0,6,2022,2,2022,1,2,10
2/10/22,Minnesota,1.5909,1233195510,175000000,55627722.1,8459722.23,35056.4,7,2022,2,2022,1,2,10
2/10/22,New Jersey,1.5909,443112387.5,400000000,75285280,3794039.44,1.17,8,2022,2,2022,1,2,10
2/10/22,New York*,1.5909,9256533928,560000000,37312143.85,69435730.85,0,9,2022,2,2022,1,2,10
2/10/22,Pennsylvania,1.5909,681077935.2,100000000,40494523.34,5886890.03,0,10,2022,2,2022,1,2,10
2/10/22,Texas,1.5909,0,0,0,19767040.04,4895.4,11,2022,2,2022,1,2,10
2/10/22,Virgin Islands,1.5909,98327543.99,3000000,440498,720812.03,235.02,12,2022,2,2022,1,2,10
2/9/22,California,1.5909,19443241532,700000000,159973513.2,146371974,0,1,2022,2,2022,1,2,9
2/9/22,Colorado,1.5909,1013089861,100000000,0,7588593.4,0,2,2022,2,2022,1,2,9
2/9/22,Connecticut,1.5909,547775012.5,80000000,15698673.46,4014174.31,0,3,2022,2,2022,1,2,9
2/9/22,Hawaii,1.5909,0,65000000,0,19584.53,19584.53,4,2022,2,2022,1,2,9
2/9/22,Illinois,1.5909,4512645003,147000000,0,33391824.3,0.55,5,2022,2,2022,1,2,9
2/9/22,Massachusetts,1.5909,2268015460,0,0,16974962.63,0,6,2022,2,2022,1,2,9
2/9/22,Minnesota,1.5909,1231301155,175000000,52252722.1,8406054.39,35056.4,7,2022,2,2022,1,2,9
2/9/22,New Jersey,1.5909,434688815.5,400000000,66777280,3775092.98,1.17,8,2022,2,2022,1,2,9
2/9/22,New York*,1.5909,9256510618,560000000,37288833.86,69032273.8,0,9,2022,2,2022,1,2,9
2/9/22,Pennsylvania,1.5909,680154910.1,100000000,37130398.2,5857244.6,0,10,2022,2,2022,1,2,9
2/9/22,Texas,1.5909,0,0,0,19767040.04,4895.4,11,2022,2,2022,1,2,9
2/9/22,Virgin Islands,1.5909,98327543.99,3000000,440498,716526.25,235.02,12,2022,2,2022,1,2,9
2/8/22,California,1.5909,19429955134,700000000,138884037.2,145525094.1,0,1,2022,2,2022,1,2,8
2/8/22,Colorado,1.5909,1013089861,100000000,0,7544436.5,0,2,2022,2,2022,1,2,8
2/8/22,Connecticut,1.5909,546070239.8,80000000,13993900.68,3990373.12,0,3,2022,2,2022,1,2,8
2/8/22,Hawaii,1.5909,0,65000000,0,19584.53,19584.53,4,2022,2,2022,1,2,8
2/8/22,Illinois,1.5909,4512645003,147000000,0,33195134.79,0.55,5,2022,2,2022,1,2,8
2/8/22,Massachusetts,1.5909,2268015460,0,0,16876108.19,0,6,2022,2,2022,1,2,8
2/8/22,Minnesota,1.5909,1219960155,175000000,40836722.1,8352880.78,35056.4,7,2022,2,2022,1,2,8
2/8/22,New Jersey,1.5909,426755815.5,400000000,58823280,3756492.23,1.17,8,2022,2,2022,1,2,8
2/8/22,New York*,1.5909,9253705369,560000000,34483584.54,68628939.06,0,9,2022,2,2022,1,2,8
2/8/22,Pennsylvania,1.5909,677274350.9,100000000,33698238.99,5827724.72,0,10,2022,2,2022,1,2,8
2/8/22,Texas,1.5909,0,0,0,19767040.04,4895.4,11,2022,2,2022,1,2,8
2/8/22,Virgin Islands,1.5909,98327543.99,3000000,440498,712240.48,235.02,12,2022,2,2022,1,2,8
2/7/22,California,1.5909,19448909752,700000000,134135358.7,144677388.1,0,1,2022,2,2022,1,2,7
2/7/22,Colorado,1.5909,1013089861,100000000,0,7500279.73,0,2,2022,2,2022,1,2,7
2/7/22,Connecticut,1.5909,539429832.2,80000000,7353493.12,3966861.31,0,3,2022,2,2022,1,2,7
2/7/22,Hawaii,1.5909,0,65000000,0,19584.53,19584.53,4,2022,2,2022,1,2,7
2/7/22,Illinois,1.5909,4512645003,147000000,0,32998445.27,0.55,5,2022,2,2022,1,2,7
2/7/22,Massachusetts,1.5909,2268015460,0,0,16777253.83,0,6,2022,2,2022,1,2,7
2/7/22,Minnesota,1.5909,1209193540,175000000,30041722.1,8300176.57,35056.4,7,2022,2,2022,1,2,7
2/7/22,New Jersey,1.5909,419624068,400000000,51632280,3738202.39,1.17,8,2022,2,2022,1,2,7
2/7/22,New York*,1.5909,9247662195,560000000,28440410.18,68225867.6,0,9,2022,2,2022,1,2,7
2/7/22,Pennsylvania,1.5909,671853615.9,100000000,28277504.06,5798441.12,0,10,2022,2,2022,1,2,7
2/7/22,Texas,1.5909,0,0,0,19767040.04,4895.4,11,2022,2,2022,1,2,7
2/7/22,Virgin Islands,1.5909,98327543.99,3000000,440498,707954.82,235.02,12,2022,2,2022,1,2,7
2/4/22,California,1.5909,19416257168,700000000,90115836.59,142138539.7,0,1,2022,2,2022,1,2,4
2/4/22,Colorado,1.5909,1013089861,100000000,0,7367809.18,0,2,2022,2,2022,1,2,4
2/4/22,Connecticut,1.5909,539429832.2,80000000,7353493.12,3896326.1,0,3,2022,2,2022,1,2,4
2/4/22,Hawaii,1.5909,0,65000000,0,19584.53,19584.53,4,2022,2,2022,1,2,4
2/4/22,Illinois,1.5909,4512645003,147000000,0,32408376.81,0.55,5,2022,2,2022,1,2,4
2/4/22,Massachusetts,1.5909,2268015460,0,0,16480690.59,0,6,2022,2,2022,1,2,4
2/4/22,Minnesota,1.5909,1207604896,175000000,28225722.1,8142271.51,35056.4,7,2022,2,2022,1,2,4
2/4/22,New Jersey,1.5909,406192552.2,400000000,37369280,3685089.11,1.17,8,2022,2,2022,1,2,4
2/4/22,New York*,1.5909,9219235793,560000000,0,67020370.55,0,9,2022,2,2022,1,2,4
2/4/22,Pennsylvania,1.5909,659591146.2,100000000,13698380.6,5712193.69,0,10,2022,2,2022,1,2,4
2/4/22,Texas,1.5909,0,0,0,19767040.04,4895.4,11,2022,2,2022,1,2,4
2/4/22,Virgin Islands,1.5909,98327543.99,3000000,440498,695097.58,235.02,12,2022,2,2022,1,2,4
2/3/22,California,1.5909,19419658396,700000000,88289041.98,141292044.6,0,1,2022,2,2022,1,2,3
2/3/22,Colorado,1.5909,1013089861,100000000,0,7323652.32,0,2,2022,2,2022,1,2,3
2/3/22,Connecticut,1.5909,589429832.2,80000000,7353493.12,3870472.63,0,3,2022,2,2022,1,2,3
2/3/22,Hawaii,1.5909,0,65000000,0,19584.53,19584.53,4,2022,2,2022,1,2,3
2/3/22,Illinois,1.5909,4512645003,147000000,0,32211687.37,0.55,5,2022,2,2022,1,2,3
2/3/22,Massachusetts,1.5909,2268015460,0,0,16381836.2,0,6,2022,2,2022,1,2,3
2/3/22,Minnesota,1.5909,1205392896,175000000,26013722.1,8089732.88,35056.4,7,2022,2,2022,1,2,3
2/3/22,New Jersey,1.5909,399677252.2,400000000,21863000,3667668.63,1.17,8,2022,2,2022,1,2,3
2/3/22,New York*,1.5909,9234952620,560000000,0,66617557.44,0,9,2022,2,2022,1,2,3
2/3/22,Pennsylvania,1.5909,662731283.5,100000000,11120317.91,5683248.6,0,10,2022,2,2022,1,2,3
2/3/22,Texas,1.5909,0,0,0,19767040.04,4895.4,11,2022,2,2022,1,2,3
2/3/22,Virgin Islands,1.5909,98014566.99,3000000,127521,690825.53,235.02,12,2022,2,2022,1,2,3
2/2/22,California,1.5909,19547620330,700000000,45373918.97,140437628.4,0,1,2022,2,2022,1,2,2
2/2/22,Colorado,1.5909,1013089861,100000000,0,7279495.53,0,2,2022,2,2022,1,2,2
2/2/22,Connecticut,1.5909,589429832.2,80000000,7353493.12,3844781.55,0,3,2022,2,2022,1,2,2
2/2/22,Hawaii,1.5909,0,65000000,0,19584.53,19584.53,4,2022,2,2022,1,2,2
2/2/22,Illinois,1.5909,4512645003,147000000,0,32014997.83,0.55,5,2022,2,2022,1,2,2
2/2/22,Massachusetts,1.5909,2268015460,0,0,16282981.8,0,6,2022,2,2022,1,2,2
2/2/22,Minnesota,1.5909,1201690896,175000000,22311722.1,8037355.58,35056.4,7,2022,2,2022,1,2,2
2/2/22,New Jersey,1.5909,391680252.3,400000000,13841000,3650596.78,1.17,8,2022,2,2022,1,2,2
2/2/22,New York*,1.5909,9245334395,560000000,0,66214392.17,0,9,2022,2,2022,1,2,2
